atto_group,doc_type,category,subcategory,oggetto,numero_atto,data_atto,importo_max,importo_sum,cig,cup,beneficiario,accounting_relevant,missing_amount_expected,anomalie
Avviso_101__5228_DeterminaGenerica_Copia_101_2026,Determinazione,Contabilità,Bando,Approvazione Avviso pubblico di manifestazione di interesse per la costituzione di una Short List di Guide Turistiche abilitate.,5.0,13/02/2026,,0.0,,,,True,True,
Avviso_101__5228_Domanda_short_list_SCHEMA,Avviso,Cultura e Turismo,Bando,Domanda di inserimento nella Short List di Guide Turistiche abilitate. Il/La sottoscritto/a __________________________________________ nato/a a ____________________________ (_____) il ___/___/______ residente in _________________________________________________ Codice Fiscale/ P.Iva ________________________________________________ recapito telefonico ____________________________________________ indirizzo e-mail ________________________________________________ PEC (se in possesso) ___________________________________________ CHIEDE COMUNE DI AVELLA PROV. DI AVELLINO CITTA’ D’ARTE SERVIZIO TURISMO E PROMOZIONE DEL TERRITORIO di essere inserito/a nella Short List istituita dal Comune di Avella in qualità di Guida Turistica abilitata. A TAL FINE DICHIARA (Consapevole delle responsabilità penali previste dall’art. 76 del D.P.R. 445/2000 in caso di dichiarazioni mendaci) o di essere in possesso dei requisiti professionali previsti dalla normativa vigente per lo svolgimento dell’attività; o di non trovarsi in condizioni che comportino l’incapacità di contrarre con la Pubblica Amministrazione; o di non essere destinatario/a di provvedimenti che comportino l’interdizione o la sospensione dall’esercizio dell’attività professionale; o di non trovarsi in situazioni di conflitto di interesse con il Comune di Avella; o di essere in possesso dei requisiti morali richiesti dalla normativa vigente; o di accettare integralmente le condizioni previste dall’Avviso pubblico. ALLEGA: ☐ Curriculum v...,,,,0.0,,,,False,False,
Avviso_101__5228_short_list_SCHEMA_DI_MANIFESTAZIONE,Avviso,Contabilità,Liquidazione,,,,250.0,400.0,,,,True,False,
Avviso_195__5388_DeterminaaContrarre_Copia_195_2026,Determinazione,Regolamenti,Bando,"Avvio della procedura per l'affidamento diretto, ai sensi dell'art. 50, comma 1, lett. b), del D.Lgs. 36/2023, mediante stipula di accordo quadro ex art. 59, comma 1, del medesimo Decreto, dei servizi di supporto tecnico-amministrativo al RUP per la programmazione, gestione, attuazione, monitoraggio e rendicontazione degli interventi PNRR - Approvazione dell'Avviso pubblico di manifestazione di interesse e relativi allegati",132.0,17/03/2026,140000.0,422832.0,,J27G22000110006,DIVERSI,True,False,
Avviso_195__5388_VistoContabile,VistoContabile,Contabilità,,,480.0,26/04/2024,71462.0,95252.0,,J27G22000110006,DIVERSI,True,False,
Avviso_198__5394_DeterminaGenerica_Copia_198_2026,Determinazione,Contabilità,Concorso,"Avvio dell’indagine di mercato e della procedura di affidamento diretto ex art. 50, comma 1, lett. a) del D.Lgs. 36/2023, per la fornitura e posa in opera di arredi in legno massello, rivestimento del soppalco a sbalzo e predisposizione canali per il cablaggio dell’impianto di illuminazione, destinati alla Biblioteca Comunale in fase di allestimento - Approvazione Avviso di Manifestazione di Interesse, Capitolato Speciale d’Appalto",133.0,17/03/2026,97600.0,257740.0,RICHIAMATO,J23G23000020004,,True,False,
Avviso_198__5394_VistoContabile,VistoContabile,Contabilità,,,,,,0.0,,,,True,False,
Avviso_1__5084_AttestazionePubblicazione,AttestazionePubblicazione,Regolamenti,Bando,OGGETTO: Avviso pubblico “INSIEME SI VINCE” della Presidenza del Consiglio dei Ministri – Dipartimento per le Politiche della Famiglia. Approvazione del progetto ammesso a finanziamento e del relativo quadro economico.,1.0,13/01/2026,,0.0,,,,False,False,
Avviso_1__5084_DeliberadiGiunta_Copia_1_2026,Delibera,Regolamenti,Bando,"OGGETTO: Avviso pubblico “INSIEME SI VINCE” della Presidenza del Consiglio dei Ministri – Dipartimento per le Politiche della Famiglia. Approvazione del progetto ammesso a finanziamento e del relativo quadro economico. Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Presente ALAIA ANNA VICESINDACO Presente BIANCARDI LUIGI ASSESSORE Presente BIANCARDI GIOVANNI ASSESSORE Presente CERBONE SANTINA ASSESSORE Presente Tot. 5 Tot. 0 COPIA Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it.",56.0,15/04/2025,,0.0,,,,True,True,
Avviso_1__5084_Modello_A_Avella_1,Avviso,Regolamenti,Bando,,,,40000.0,145592.564,,,CENTRO SUPPORTO FAMIGLIE - AVELLA Indirizzo,True,False,
