pdf_name,doc_type,category,subcategory,classification_confidence,source,text_sha256,text_chars,text_words,unique_words,euro_mentions,cig_mentions,cup_mentions,date_mentions,years_mentioned,importo_max,importo_sum,importi_count,accounting_relevant,missing_amount_expected
atto_10__5386_OrdinanzeSindacali_Copia_10_2026_1.pdf,Ordinanza,Contenzioso,,high,text,18529e23d95d49a57115f759e6096a5ce24cd5196f330764c89e8e63f7210711,4393,677,267,0,0,0,6,"2000,2026",,,0,False,False
atto_10__5415_DecretoSindacale_Copia_10_2026_1.pdf,Decreto,,,,text,e842c542651ad12d92d32653a86062d8018f80cfc4e9b77a9f54d62c2b5cd419,5982,912,354,0,0,0,6,"2000,2001,2005,2006,2007,2011,2012,2015,2026",,,0,False,False
atto_11__5442_DecretoSindacale_Copia_11_2026_1.pdf,Decreto,Regolamenti,Nomina,high,text,8a7569609adc8fd2aba829e6dffcfbb376ed25f1d14937dc1b83a80846647f98,4208,655,286,0,0,0,6,"2000,2025,2026",,,0,False,False
atto_12__5491_DecretoSindacale_Copia_12_2026_1.pdf,Decreto,Ambiente,,ambiguous,text,3ffe2f0724ca34540986925fb17f5188220cdafcc19d4d9e1c118b4180cc6649,3705,579,267,0,0,0,6,"2000,2025,2026",,,0,False,False
atto_13__5518_DecretoSindacale_Copia_13_2026_1.pdf,Decreto,Ambiente,,ambiguous,text,08e3db1796e0ea6f9d15609bfe6f8bae39ed55f25fc4aeb71b8e9b7b95b6ef2a,3974,614,256,0,0,0,6,"2000,2025,2026",,,0,False,False
atto_14__5542_DecretoSindacale_Copia_14_2026_1.pdf,Decreto,Ambiente,,ambiguous,text,daba4ae0ae991fd1e1adf3cb6fa095180ea946bf6cf955521dec6d6cb5e57783,3939,608,264,0,0,0,6,"2000,2026",,,0,False,False
atto_15__5543_DecretoSindacale_Copia_15_2026_1.pdf,Decreto,Commercio,,ambiguous,text,ae90ce8a0fc77ba648a8a1e19f096ccc547210218a4d447fabbeccee4d55a849,3867,602,263,0,0,0,6,"2000,2026",,,0,False,False
atto_16__5573_DecretoSindacale_Copia_16_2026_1.pdf,Decreto,Affari Generali,,ambiguous,text,d04c3ee4406f110d13a3076b628483eaec7e54a6268f7b1b4a39c128c841e3c8,4055,625,270,0,0,0,6,"2000,2025,2026",,,0,False,False
atto_17__5606_DecretoSindacale_Copia_17_2026_1.pdf,Decreto,Ambiente,Nomina,high,text,4eedb50db28fd515797ddf33d28347d8aa949b15bede9e3de0473dbcdc191abe,2892,457,209,0,0,0,6,"2000,2026",,,0,False,False
atto_18__5584_OrdinanzeSindacali_Copia_18_2026_1.pdf,Ordinanza,Contenzioso,,ambiguous,text,b686eeea78803bcba3134010f6e863051db0180877dbb06df1ee4a48cc173717,3554,545,284,0,0,0,6,2026,,,0,False,False
atto_19__5585_OrdinanzeSindacali_Copia_19_2026_1.pdf,Ordinanza,Affari Generali,,ambiguous,text,5a61cfcdd1edb4ebc6c92e8ca18f9aa88382e3125fba1b9f81ee156e3ed2dba0,4349,674,305,0,0,0,6,"2000,2004,2026",,,0,False,False
atto_1__5401_OrdinanzeSindacali_Copia_11_2026_1.pdf,Ordinanza,Contenzioso,,high,text,7374ab2c4b6ee067010ca438b724fde4a7372bdd1626dc5579d321cbba7bd897,4621,757,340,0,0,0,7,"2000,2002,2026",,,0,False,False
atto_20__5603_OrdinanzeSindacali_Copia_20_2026_1.pdf,Ordinanza,Contenzioso,,high,text,5ebe2917052d0edb936f59b01f14c1197c0bcfe444e9bbbcf40ac7bdbc52ce73,4663,752,362,0,0,0,6,"2000,2013,2026",,,0,False,False
atto_3__5412_OrdinanzeDirigenziali_Copia_4_2026_1.pdf,Decreto,Contenzioso,,high_ml,text,809c7051305e40d47249df93e3646a0f378d709247c490173de3d54eaf900635,5612,897,398,0,0,0,6,"2000,2013,2026",,,0,False,False
atto_3__5501_OrdinanzeDirigenziali_Copia_8_2026_1.pdf,Decreto,Contenzioso,,high_ml,text,67789e2f439933e0edaeb3bc20489415502fe5d874b3aa05cad9d3f53af913f5,5643,903,402,0,0,0,6,"2000,2013,2026",,,0,False,False
atto_3__5528_OrdinanzeSindacali_Copia_17_2026_1.pdf,Ordinanza,Contenzioso,,high_ml,text,a66af36e272d8e9c58c791ec5aaf1dd0cdaba2001c4df51637dd66da7207caa7,5105,825,387,0,0,0,6,"2000,2013,2026",,,0,False,False
atto_5__5444_OrdinanzeDirigenziali_Copia_5_2026_1.pdf,Decreto,Affari Generali,,ambiguous,text,bc299939fde044e929af319de188c95e4bb384ccd35a10f5a2621a65ddcb8449,5299,833,386,0,0,0,6,"2000,2026",,,0,False,False
atto_6__5445_OrdinanzeDirigenziali_Copia_6_2026_1.pdf,Decreto,Affari Generali,,ambiguous,text,9ea268de161042204543d007814c3fd3bffee99228fcdcf127789ffeead725ec,5462,858,395,0,0,0,6,"2000,2026",,,0,False,False
atto_6__5500_OrdinanzeDirigenziali_Copia_7_2026_1.pdf,Decreto,Contenzioso,,high_ml,text,fb666143bfdbbec715a5ea976b73b240354f8b3fba6d17c8d072995eab33fda2,5578,899,399,0,0,0,6,"2000,2013,2026",,,0,False,False
atto_9__5381_OrdinanzeSindacali_Copia_9_2026_1.pdf,Ordinanza,Contenzioso,,ambiguous,text,1da641eed63a070d1d9de97070e86b4b3e1449fccd3d8d9d447037715d05caeb,3129,496,238,0,0,0,6,"2000,2026",,,0,False,False
atto_9__5515_OrdinanzeSindacali_Copia_16_2026_1.pdf,Ordinanza,Contenzioso,,high,text,8447bf035f6378f0e103f84e7a3809c78f15fa159865092e4be291bfe57969f6,4768,775,370,0,0,0,6,"2000,2013,2026",,,0,False,False
atto___5301_INTEGRAZIONE_CONSIGLIO_COMUNAL_1772441468_1.pdf,unknown,Affari Generali,,ambiguous,text,5504d2c9f45bb9792ac0e3f3843d89cc932f7828b5e375da5143ef561162661b,765,120,69,0,0,0,1,2026,,,0,False,False
atto___5303_sportello_lauro_Marcato_Marcat_1772452908_2.pdf,unknown,Servizi Sociali,,high,text,8b50b1e3d94fedf6f5dbe87b5c4a73e9d995b0e682c4d0acdc77996d2dada660,580,82,69,0,0,0,2,2026,,,0,False,False
atto___5303_sportello_mugnano_del_cardinal_1772452908_1.pdf,unknown,Servizi Sociali,,high,text,e2c0bf51321c5b01ad60f4ac00210d2a3ebfbbeea12c205b482eccaf86ac3304,608,86,74,0,0,0,2,2026,,,0,False,False
atto___5321_ElencoElettoriAIREVotantiPerCo_1772627130_2.pdf,Elenco,Servizi Demografici,,high,text,8d22d3317ea7affe37a6856eb356d219cbe5785f9062e7baf0c5880a620bf625,122909,22115,3969,0,0,0,135,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2033,2034,2042,2045,2052,2072,2073,2074,2075,2090,2096,2099",,,0,False,False
atto___5321_ElencoElettoriResidentiTempora_1772627130_1.pdf,Elenco,Servizi Demografici,,high,text,a5534bb15351652d335154f1bfdaa78c759f25702d10478c21d75755341cf5cd,416,72,55,0,0,0,1,"2001,2003,2026",,,0,False,False
atto___5341_14_-_Verbale_di_pubblicazione__1773043387_1.pdf,Avviso,Servizi Demografici,,high,text,6edeab2a11c7f996eb6825a7455d6b548559a14dd45f5a0a5e14abf0a0efee37,1205,210,138,0,0,0,1,"2000,2026",,,0,False,False
atto___5461_14_-_Verbale_di_pubblicazione__1775545513_1.pdf,Avviso,Servizi Demografici,,high,text,a2038fcf45b2b9dd8aecda135a577f55d4092e34b1a8b7471eb9f309f305cb92,1249,215,138,0,0,0,1,"2000,2026",,,0,False,False
atto___5478_14_-_Verbale_di_pubblicazione__1775814336_1.pdf,Avviso,Servizi Demografici,,high,text,efcd1435d177885c2fc9dec6e610ec9f419f63f815413f9bf7a7b776641c81c9,1078,181,120,0,0,0,1,"2000,2026",,,0,False,False
atto___5529_14_-_Verbale_di_pubblicazione__1777222036_1.pdf,Avviso,Servizi Demografici,,high,text,58742e3013085ae7ee5639456c509360afc8b61230c8bf1bcbe0a0e3f6e0ee08,1137,195,124,0,0,0,1,"2000,2026",,,0,False,False
atto___5550_Prot_Par_0022248_del_27-04-202_1777443837_1.pdf,unknown,Servizi Demografici,Nomina,high,text,498e39d1b85061f9fad133bc487d0a95cb8aee29a3da54200420cbf55db10711,7704,1186,380,0,0,0,4,"2012,2014,2016,2021,2022,2025,2026,2027",,,0,False,False
atto___5574_14_-_Verbale_di_pubblicazione__1777558729_1.pdf,Avviso,Servizi Demografici,,high,text,33e2a5cc1b5160d213f5136202acdc71ff631bcac947e26540e78ecabb6b81ae,1223,210,137,0,0,0,1,"2000,2026",,,0,False,False
atto___5619_14_-_Verbale_di_pubblicazione__1778496345_1.pdf,Avviso,Servizi Demografici,,high,text,95c4575a4bb042ac069c8bb110b0fa54d135982a019f61de835ab193b4609e13,1030,180,115,0,0,0,1,"2000,2026",,,0,False,False
atto___allegato1772192833_1.pdf,unknown,,,,text,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,,,,0,False,False
atto___allegato1773047907_1.pdf,unknown,,,,text,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,,,,0,False,False
atto___allegato1774431945_1.pdf,unknown,,,,text,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,,,,0,False,False
atto___allegato1775644556_1.pdf,unknown,,,,text,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,,,,0,False,False
atto___allegato1777026772_1.pdf,unknown,,,,text,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,,,,0,False,False
Avviso_195__5388_DeterminaaContrarre_Copia_195_2026_1.pdf,Determinazione,Regolamenti,Bando,high,text,81809c87ad1eb048c0d8b4685f1f13caaec2f67b87eb26ee7bc9a3b02b846c05,18449,2867,679,22,6,13,11,"2000,2001,2021,2022,2023,2024,2025,2026",140000.0,422832.0,20,True,False
Avviso_195__5388_VistoContabile_2.pdf,VistoContabile,Contabilità,,high,text,6acdaafe340e1e8b8adfb000cd12683361d57627796caa54566591f88418360e,4045,613,183,16,5,5,2,"2000,2023,2024,2025,2026",71462.0,95252.0,16,True,False
Avviso_198__5394_DeterminaGenerica_Copia_198_2026_1.pdf,Determinazione,Cultura e Turismo,Concorso,ambiguous,text,88537de33bb58b0702fc88ee504347043f7ebe708de16c80f6c2ecb0b27bb0d0,12740,2007,581,4,4,2,10,"2000,2010,2011,2013,2017,2020,2023,2024,2026",97600.0,257740.0,4,True,False
Avviso_198__5394_VistoContabile_2.pdf,VistoContabile,Contabilità,,high,text,34e4534ea0eafdfff26e0c2c913cd0aca9a91fee6037158bfaf7c7a0a99c3eb5,525,98,57,0,0,0,1,"2000,2026",,,0,True,False
Avviso_40__5425_AttestazionePubblicazione_2.pdf,AttestazionePubblicazione,Pubblicazione e Trasparenza,Bando,high,text,212e8f9457365d4cd69497e553d2fea5c3d137e55220c56a7f319c1ff33e668a,820,124,89,0,0,0,3,"2000,2026",,,0,False,False
Avviso_40__5425_DeliberadiGiunta_Copia_40_2026_1.pdf,Delibera,Cultura e Turismo,Bando,high,text,30a26c073a6e8fbbfb483966c97301c24765e97f8115e03f6ce20d9ba567ca5d,7829,1155,371,0,0,0,4,"2000,2025,2026",,,0,False,False
Avviso_50__5480_AttestazionePubblicazione_2.pdf,AttestazionePubblicazione,Commercio,Bando,high,text,117809c1f4cc678d80df3e1f2b2802eb1939547c59fa7d20b38d00c2326142f0,1007,150,102,0,0,0,3,"2000,2026",,,0,False,False
Avviso_50__5480_DeliberadiGiunta_Copia_50_2026_1.pdf,Delibera,Commercio,Bando,high,text,4bd22c08820abdbc9145dd0810c203e13f06d258417319851ec4b0935fc93611,11524,1767,440,3,0,0,7,"2000,2005,2013,2020,2021,2023,2025,2026",,,0,True,True
Avviso_5__5413_DeterminaGenerica_Copia_212_2026_1.pdf,Determinazione,Regolamenti,Bando,high,text,ae585562de6dcc48e26763839a483e4d621cdea98aa6c328d48f4804e3091595,5158,852,312,0,0,0,9,"2000,2001,2012,2025,2026",,,0,True,True
Avviso_5__5496_DeterminaGenerica_Copia_255_2026_1.pdf,Determinazione,Affari Generali,Bando,high,text,cd490c7c0bf1bba280fc028733b2f90f1adf8d936319cc52829b31426790d8fa,5780,944,336,0,0,0,11,"2000,2001,2012,2025,2026",,,0,True,True
Avviso_70__5602_allegato_a_modello_di_domanda__1778065691_2.pdf,Avviso,Servizi Sociali,Liquidazione,high,text,b6eddcffdb5515a649190bc8b0ec098146806b2bf25e813a5b957628e9c47674,9263,1339,529,5,0,0,7,"2000,2003,2016,2021,2022,2023,2024,2026",700.0,1651.2,4,True,False
Avviso_70__5602_Avviso_Ambito_A6_Marcato_Marca_1778065691_1.pdf,Avviso,Servizi Sociali,Liquidazione,high,text,85758fa06ea2f3d44ff0eafab110ec594c3f19143bdd9499d03665635c8ca0ae,30125,4558,1198,10,0,0,29,"2000,2003,2013,2016,2021,2022,2023,2024,2025,2026",288453.97,310255.17,9,True,False
Avviso___5369_Avviso_pubblico_Piano_Anticorr_1773228091_3.pdf,Avviso,Affari Generali,Bando,ambiguous,text,3579d7c181d95d3f176e57c892164752804a3129f645ed0fec52bc503eef7bc8,2979,436,210,0,0,0,2,"2012,2025,2026,2027,2028",,,0,False,False
Avviso___5369_Modulo_osservazioni_per_i_citt_1773228091_2.pdf,Avviso,Regolamenti,,high,text,ce3af46db1729d96684e8040ad825b47eabcf70d4b35cecdcfef57c06bbf4f9d,2240,252,146,0,0,0,0,"2016,2018,2025,2026,2027,2028",,,0,False,False
Avviso___5530_Copia_con_segnatura_Prot-N-000_1777270980_1.pdf,Avviso,Affari Generali,Bando,ambiguous,text,06d578ea425fb7b8a57afe28aa6b49832ac85caea909505471e53911de2c093e,17109,2514,819,1,0,0,8,"2000,2001,2004,2011,2017,2024,2025,2026",20.0,20.0,1,True,False
Avviso___allegato1777975763_1.pdf,Avviso,,,,text,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,,,,0,False,False
Avviso___allegato1778056201_1.pdf,Avviso,,,,text,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,,,,0,False,False
Bando_294__5567_DeterminaaContrarre_Copia_294_2026_1.pdf,Determinazione,Contabilità,Liquidazione,high,text,e94cf10c30e46eb1ea531999db0305494b00bbe86a04c637ca53586dc842392e,14816,2321,703,15,3,4,10,"2000,2003,2006,2008,2010,2011,2012,2013,2014,2016,2017,2023,2026",140000.0,222206.0,6,True,False
Bando_294__5567_VistoContabile_2.pdf,VistoContabile,Contabilità,Bando,high,text,3d3c43cfe1e06c48f406dd0a338c0e144a9fa49557a4def7d7e7afb06a12f279,1714,270,166,4,1,1,1,"2000,2026",37206.0,37206.0,3,True,False
Delibera_10__5340_AttestazionePubblicazione_2.pdf,AttestazionePubblicazione,Pubblicazione e Trasparenza,,high,text,e46b5cdc677d35c72311a2d638e7232554660d0397950216e9b1976b79b14634,797,119,82,0,0,0,3,"2000,2026",,,0,False,False
Delibera_10__5340_DeliberadiConsiglio_Copia_10_2026_1.pdf,Delibera,Cultura e Turismo,,high,text,0b0889c46cbd260cb6de7ba7983db28fd08c09d99d76c5654381aeef2dfbf376,6855,1039,388,0,0,0,4,"2000,2026",,,0,True,True
Delibera_1182011__5485_AttestazionePubblicazione_10.pdf,AttestazionePubblicazione,Contabilità,,high,text,d013caa6a310c2543bf1b8460d0659b0ec25844b2ee6a60f7596ee1341e81f6e,874,140,98,0,0,0,4,"2000,2011,2025,2026",,,0,False,False
Delibera_1182011__5485_DeliberadiGiunta_Copia_49_2026_2.pdf,Delibera,Contabilità,Nomina,high,text,7b447fb3fa047aa85561c71431c93a01a49bcb5acdcab7d4ec928e049055537a,10054,1600,464,0,0,0,9,"2000,2011,2018,2025,2026",,,0,True,True
Delibera_1182011__5485_parere_revisore_9.pdf,Delibera,,,,text,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,,,,0,False,False
Delibera_1182011__5485_Stampa_elenco_analitico_residui_att4160_3.pdf,Elenco,Contabilità,Liquidazione,high,text,68dcc09ebb106079c86dd09aa73b629b7fd622bff8895168cc0f1ff6d4540e3e,33123,6874,1189,0,0,1,40,"2009,2010,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026",,,0,False,False
