pdf_name,category,final_category,predicted_confidence
atto_12__5491_DecretoSindacale_Copia_12_2026_1.pdf,Ambiente,Da_Revisionare_Manualmente,0.26
atto_13__5518_DecretoSindacale_Copia_13_2026_1.pdf,Ambiente,Da_Revisionare_Manualmente,0.38
atto_14__5542_DecretoSindacale_Copia_14_2026_1.pdf,Ambiente,Da_Revisionare_Manualmente,0.295
atto_15__5543_DecretoSindacale_Copia_15_2026_1.pdf,Commercio,Da_Revisionare_Manualmente,0.275
atto_16__5573_DecretoSindacale_Copia_16_2026_1.pdf,Affari Generali,Da_Revisionare_Manualmente,0.29
atto_18__5584_OrdinanzeSindacali_Copia_18_2026_1.pdf,Contenzioso,Da_Revisionare_Manualmente,0.355
atto_19__5585_OrdinanzeSindacali_Copia_19_2026_1.pdf,Affari Generali,Da_Revisionare_Manualmente,0.205
atto_3__5412_OrdinanzeDirigenziali_Copia_4_2026_1.pdf,Affari Generali,Contenzioso,0.72
atto_3__5501_OrdinanzeDirigenziali_Copia_8_2026_1.pdf,Affari Generali,Contenzioso,0.775
atto_3__5528_OrdinanzeSindacali_Copia_17_2026_1.pdf,Affari Generali,Contenzioso,0.85
atto_5__5444_OrdinanzeDirigenziali_Copia_5_2026_1.pdf,Affari Generali,Da_Revisionare_Manualmente,0.215
atto_6__5445_OrdinanzeDirigenziali_Copia_6_2026_1.pdf,Affari Generali,Da_Revisionare_Manualmente,0.225
atto_6__5500_OrdinanzeDirigenziali_Copia_7_2026_1.pdf,Affari Generali,Contenzioso,0.735
atto_9__5381_OrdinanzeSindacali_Copia_9_2026_1.pdf,Contenzioso,Da_Revisionare_Manualmente,0.365
atto___5301_INTEGRAZIONE_CONSIGLIO_COMUNAL_1772441468_1.pdf,Affari Generali,Da_Revisionare_Manualmente,0.315
Avviso_198__5394_DeterminaGenerica_Copia_198_2026_1.pdf,Cultura e Turismo,Da_Revisionare_Manualmente,0.42
Avviso___5369_Avviso_pubblico_Piano_Anticorr_1773228091_3.pdf,Affari Generali,Da_Revisionare_Manualmente,0.245
Avviso___5530_Copia_con_segnatura_Prot-N-000_1777270980_1.pdf,Affari Generali,Da_Revisionare_Manualmente,0.235
Delibera_14__5420_REGOLAMENTO_PER_IL_FUNZIONAMENTO_DEIARI_2.pdf,Affari Generali,Regolamenti,0.6
Delibera_16__5422_regolamento_patrocinio_2.pdf,Contenzioso,Da_Revisionare_Manualmente,0.445
Delibera_18__5424_DeliberadiConsiglio_Copia_18_2026_1.pdf,Affari Generali,Regolamenti,0.935
Delibera_37__5362_Piano_delle_performance_Comune_di_A2026_2.pdf,Ambiente,Da_Revisionare_Manualmente,0.35
Delibera_3__5333_PIANO_INDUSTRIALE_ACQUA_2026_2.pdf,Ambiente,Da_Revisionare_Manualmente,0.3
Delibera_41__5440_DeliberadiGiunta_Copia_46_2026_1.pdf,Contabilità,Regolamenti,0.75
Delibera_43__5431_DeliberadiGiunta_Copia_43_2026_1.pdf,Affari Generali,Personale,0.8
Delibera_44__5432_DeliberadiGiunta_Copia_44_2026_1.pdf,Cultura e Turismo,Regolamenti,0.715
Delibera_47__5441_DeliberadiGiunta_Copia_47_2026_1.pdf,Contabilità,Personale,0.92
Delibera_4__5334_AttestazionePubblicazione_4.pdf,Ambiente,Regolamenti,0.955
