pdf_name,doc_type,category,subcategory,classification_confidence,source,text_sha256,text_chars,text_words,unique_words,euro_mentions,cig,cup,cig_mentions,cup_mentions,date_mentions,years_mentioned,importo_max,importo_sum,importi_count,accounting_relevant,missing_amount_expected,importo_lettere,piva_beneficiario,iban,codice_appalti,quadro_economico,anomalie
atto_12__5491_DecretoSindacale_Copia_12_2026_1.pdf,Decreto,Ambiente,,ambiguous,text,3ffe2f0724ca34540986925fb17f5188220cdafcc19d4d9e1c118b4180cc6649,3705,579,267,0,,,0,0,6,"2000,2025,2026",,,0,False,False,,,,,,
atto_13__5518_DecretoSindacale_Copia_13_2026_1.pdf,Decreto,Ambiente,,ambiguous,text,08e3db1796e0ea6f9d15609bfe6f8bae39ed55f25fc4aeb71b8e9b7b95b6ef2a,3974,614,256,0,,,0,0,6,"2000,2025,2026",,,0,False,False,,,,,,
atto_20__5055_DecretoSindacale_Copia_20_2025_1.pdf,Decreto,Ambiente,,ambiguous,text,a3f7f60e888ce71a313f53a7fbcb00fff9cba34200297a99b468d1dd12877468,3366,537,235,0,,,0,0,6,"2000,2023,2025,2026",,,0,False,False,,,,,,
atto_22__5697_OrdinanzeSindacali_Copia_22_2026_1.pdf,Ordinanza,Affari Generali,,ambiguous,text,d1b3ff1e8603b9a5241c9c9646d11ca3b0d1cd92f2f07050643dfef7097902d7,4543,711,361,0,,,0,0,6,2026,,,0,False,False,,,,,,
atto_28__5689_OrdinanzeSindacali_Copia_21_2026_1.pdf,Ordinanza,Affari Generali,,ambiguous,text,d39968a2aec46add0ac17f96365102e6591d4a16712c0596783a25833916aa4f,4895,790,368,0,,,0,0,6,"2013,2026",,,0,False,False,,,,,,
atto_32__4994_OrdinanzeSindacali_Copia_32_2025_1.pdf,Ordinanza,Lavori Pubblici,,ambiguous,text,816d9223ea3602898db8e4a93d71b76a2a24de420a30b07a766ebbf1e3902590,3571,557,216,0,,,0,0,6,"2000,2025,2026",,,0,False,False,,,,,,
atto_5__5444_OrdinanzeDirigenziali_Copia_5_2026_1.pdf,Decreto,Affari Generali,,ambiguous,text,bc299939fde044e929af319de188c95e4bb384ccd35a10f5a2621a65ddcb8449,5299,833,386,0,,,0,0,6,"2000,2026",,,0,False,False,,,,,,
atto_6__5445_OrdinanzeDirigenziali_Copia_6_2026_1.pdf,Decreto,Affari Generali,,ambiguous,text,9ea268de161042204543d007814c3fd3bffee99228fcdcf127789ffeead725ec,5462,858,395,0,,,0,0,6,"2000,2026",,,0,False,False,,,,,,
atto_6__5500_OrdinanzeDirigenziali_Copia_7_2026_1.pdf,Decreto,Affari Generali,,ambiguous,text,fb666143bfdbbec715a5ea976b73b240354f8b3fba6d17c8d072995eab33fda2,5578,899,399,0,,,0,0,6,"2000,2013,2026",,,0,False,False,,1682740558.0,,,,
atto___5301_INTEGRAZIONE_CONSIGLIO_COMUNAL_1772441468_1.pdf,unknown,Affari Generali,,ambiguous,text,5504d2c9f45bb9792ac0e3f3843d89cc932f7828b5e375da5143ef561162661b,765,120,69,0,,,0,0,1,2026,,,0,False,False,,,,,,
Avviso_198__5394_DeterminaGenerica_Copia_198_2026_1.pdf,Determinazione,Cultura e Turismo,,ambiguous,text,88537de33bb58b0702fc88ee504347043f7ebe708de16c80f6c2ecb0b27bb0d0,12740,2007,581,4,RICHIAMATO,J23G23000020004,4,2,10,"2000,2010,2011,2013,2017,2020,2023,2024,2026",97600.0,257740.0,4,True,False,,,,36/2023,,
Avviso_1__5084_Modello_A_Avella_1_2.pdf,Avviso,Affari Generali,Bando,ambiguous,text,11c212feaa48ff7e396f920396ec9f409348997bbf75610b46409f8b9147300a,32576,4760,1460,41,,,0,0,1,"2025,2026",40000.0,145592.564,24,True,False,quarantamila,,,,,
Avviso_362023__5641_Carta_intestata_Avviso_Appalto_1778764496_1.pdf,Avviso,Ambiente,,ambiguous,text,7d7bc8763caac7ea992e85f091c973fce197358d0a27a7b6352c87fddaa949bd,10311,1603,407,16,,,0,1,10,"2023,2025,2026",1117481.37,20090.0,3,True,False,,,,36/2023,,
Avviso_383__5694_DeterminaGenerica_Copia_383_2026_1.pdf,Determinazione,Cultura e Turismo,Bando,ambiguous,text,59904fd514b208a56442de33f88f1fa1af3d6c4bf606cd7f63b7d0d5959c20d0,4654,711,301,0,,,0,0,9,"2000,2024,2026",,,0,True,True,,,,,,
Avviso___5252_Prot_Par_0000839_del_18-02-202_1771489017_3.pdf,Avviso,Affari Generali,,ambiguous,text,e78504154f5deaab36090d88383f6cb04455e970993825011b5288286ad1b855,2454,388,192,0,,,0,0,1,"2023,2026,2028",,,0,False,False,,,,36/2023,,
Avviso___allegato1767355975_1.pdf,Avviso,Contenzioso,,ambiguous,text,39ad44be6e363320e0add3b2410711290e0c62b3f59e0c90bc24bb830a56ee7b,872,140,90,0,,,0,0,5,"2005,2025,2026",,,0,False,False,,,,,,
