category,docs,text_words_mean,text_words_median,importo_max_count,importo_max_sum,importi_count_mean,accounting_relevant_count,missing_amount_expected_count
Contabilità,797,1018.9435382685069,311.0,752,5841965806.53,6.422835633626097,766,17
Regolamenti,160,1329.80625,1033.0,49,1145724147.8700001,6.425,89,41
Contenzioso,101,1143.5742574257426,1228.0,35,8077032.5,2.5346534653465347,48,23
Servizi Demografici,60,853.0666666666667,320.5,6,3936.38,0.5333333333333333,12,6
Pubblicazione e Trasparenza,59,191.4915254237288,123.0,2,2220.0,0.11864406779661017,3,2
,53,1477.4150943396226,1090.0,26,520808014.35,4.773584905660377,27,3
Affari Generali,51,1600.3725490196077,1586.0,28,572346774.76,5.509803921568627,35,7
Cultura e Turismo,47,1487.723404255319,1288.0,25,9256915.0,5.574468085106383,36,13
Personale,44,2079.0227272727275,1965.5,19,2610857.5300000003,2.6818181818181817,32,16
Ambiente,43,2244.5813953488373,1866.0,30,12849913.4,15.44186046511628,32,3
Servizi Sociali,36,1378.9722222222222,1224.0,21,71294728.01,3.1666666666666665,25,5
Lavori Pubblici,25,3964.52,1960.0,23,129266769.5,12.72,23,1
Urbanistica,22,537.9545454545455,417.0,7,4562301.93,0.7272727272727273,16,10
Commercio,5,1181.4,775.0,1,2000.0,30.4,2,1
