pdf_name,doc_type,category,subcategory,classification_confidence,source,text_sha256,text_chars,text_words,unique_words,euro_mentions,cig,cup,cig_mentions,cup_mentions,date_mentions,years_mentioned,importo_max,importo_sum,importi_count,accounting_relevant,missing_amount_expected,importo_lettere,piva_beneficiario,iban,codice_appalti,quadro_economico,anomalie
Delibera_60__5549_doc01890720260428103035_2.pdf,Delibera,,,,text,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,,,0,0,0,,,,0,False,False,,,,,,
atto___5196_AVELLA_Marcato_1770205478_1.pdf,unknown,,,,text,7ba3bb7d85b7b9b2e84ead4bf0cda290828b0b9bf52bbec7fa4bb1de0235ceca,167,24,12,0,,,0,0,2,2026,,,0,False,False,,,,,,
Determinazione_232__5213_Allegato_A_2.pdf,Determinazione,,,,text,875a40cc30553a4f90f47b1a53eb7bb9c5a2ac519edb471812951a0d79657119,181,42,42,0,,,0,0,0,,,,0,False,False,,,,,,
atto_1__Vai_1.php,unknown,,,,ocr,2c04803f52497e7b8701a7b9c7ba44598d09a5e2576619e6595c08c657e11e0d,279,44,33,0,,,0,0,0,2025,,,0,False,False,,,,,,
Delibera_26_2028_5237_elenco_indirizzi_internet__7.pdf,Elenco,,,,text,b2f53bc4ec7ac0693b5022acabe5d2b63f227460664ee8f308267713902f3706,299,44,35,0,,,0,0,0,2024,,,0,False,False,,,,,,
Determinazione_391__5705_ALLEGATO_B_3.pdf,Determinazione,,,,text,f5976eb45639f68e0215ae350bc58d4d9f8091364e6997e987911d0da64f10ba,394,48,45,1,,,0,0,0,,,,0,False,False,,,,,,
atto_19922025__Vai_3.php,unknown,,,,text,7fc5350a8ce2a81b9c01a7f9f06b720d3cf3754fb0c2b5168ffe43312f410112,430,74,46,0,,,0,0,1,"2000,2025",,,0,False,False,,,,,,
atto___Vai_4.php,unknown,Contabilità,,high,text,3ff4cde069dd68f0e9e83fb41150dbb330d539960bfca6d98f40a7592df2a683,442,80,53,0,,,0,0,1,"2000,2025",,,0,True,True,,,,,,
atto___5303_sportello_lauro_Marcato_Marcat_1772452908_2.pdf,unknown,Servizi Sociali,,high,text,8b50b1e3d94fedf6f5dbe87b5c4a73e9d995b0e682c4d0acdc77996d2dada660,580,82,69,0,,,0,0,2,2026,,,0,False,False,,,,,,
atto___5303_sportello_mugnano_del_cardinal_1772452908_1.pdf,unknown,Servizi Sociali,,high,text,e2c0bf51321c5b01ad60f4ac00210d2a3ebfbbeea12c205b482eccaf86ac3304,608,86,74,0,,,0,0,2,2026,,,0,False,False,,,,,,
atto_252025__Vai_3.php,VistoContabile,Contabilità,,high,text,d8eaa49197fcc0765144e03664b8f6bd317351dee84ae09e3f65b415153bf7d8,482,89,53,0,,,0,0,1,"2000,2025",,,0,True,False,,,,,,
atto_2__Vai_3.php,VistoContabile,Contabilità,,high,text,16254afc0d3f3567b05c506365cafc10e3ed6606225e454f085da9cb5e5ddf3d,482,89,53,0,,,0,0,1,"2000,2025",,,0,True,False,,,,,,
Avviso_802021__Vai_2.php,Avviso,Contabilità,,high,text,b17b8ac276bd04bb67c1e275a9ffb551ad9f932dec946f07b4f51f3841d75e41,482,89,53,0,,,0,0,1,"2000,2025",,,0,True,True,,,,,,
Avviso_2__Vai_4.php,Avviso,Contabilità,,high,text,4082a4c28c353ed40d083e0dbdd6af2cfe79abddffa6a1e731730c22857a05ee,482,89,53,0,,,0,0,1,"2000,2025",,,0,True,True,,,,,,
atto_176__Vai_2.php,VistoContabile,Contabilità,,high,text,0bbdb8a8f72d16d821456ff0857e3478c33fb7e61d43bc9535354cc6ae57948f,482,89,53,0,,,0,0,1,"2000,2025",,,0,True,False,,,,,,
atto__19102025_Vai_2.php,Ordinanza,Affari Generali,,high,text,79bd50ca6cf42460369b22d9d31ed3ed3578ecfd65f74071d29d318e62f1a423,540,89,58,0,,,0,0,3,2025,,,0,False,False,,,,,,
Determinazione_172025__Vai_2.php,Determinazione,Contabilità,,high,text,28ce5b394f148ee3ea90a1e9423564f0a4b004b92df14f843b4ada4de4761052,482,89,53,0,,,0,0,1,"2000,2025",,,0,True,True,,,,,,
atto_652025__Vai_2.php,VistoContabile,Contabilità,,high,text,5a3b24f7d32f18b72f9301de320547309c01f45fdb51a43637ee407034ffef41,482,89,53,0,,,0,0,1,"2000,2025",,,0,True,False,,,,,,
Determinazione_2672000__4971_VistoContabile_3.pdf,VistoContabile,Contabilità,,high,text,ec7ed0be6bcbc99f4e18b0d8c2974520de540dc8887e694dcee27a62f4b71fa7,522,97,56,0,,,0,0,1,"2000,2025",,,0,True,False,,,,,,
Avviso_752__5034_VistoContabile_3.pdf,VistoContabile,Contabilità,,high,text,9825560b12dafbfb5ca71f634a9690ba85ed295eef393b9138dc5040fa546367,522,97,56,0,,,0,0,1,"2000,2025",,,0,True,False,,,,,,
Determinazione_613__4945_VistoContabile_2.pdf,VistoContabile,Contabilità,,high,text,f8a56adc654c007d8dc4e63508aa5eef55bed658cb663b5492b076d616afd273,522,97,56,0,,,0,0,1,"2000,2025",,,0,True,False,,,,,,
Determinazione_44__5129_VistoContabile_2.pdf,VistoContabile,Contabilità,,high,text,23033ad06e0a7e204340376bf73394ecc5f7a368d9822924d0a0b39b054253e7,525,98,57,0,,,0,0,1,"2000,2026",,,0,True,False,,,,,,
Avviso_198__5394_VistoContabile_2.pdf,VistoContabile,Contabilità,,high,text,34e4534ea0eafdfff26e0c2c913cd0aca9a91fee6037158bfaf7c7a0a99c3eb5,525,98,57,0,,,0,0,1,"2000,2026",,,0,True,False,,,,,,
Determinazione_65__5153_VistoContabile_2.pdf,VistoContabile,Contabilità,,high,text,f52c985c3f5bafbff83d9b43654b76ff45b7bcd8f765ebc192b2adfb199aa4f9,525,98,57,0,,,0,0,1,"2000,2026",,,0,True,False,,,,,,
Determinazione_306__5580_VistoContabile_2.pdf,VistoContabile,Contabilità,,high,text,061adb5c9510510e12adb5b3dbc487212411198b3e3cc67f91322f8a0047d0bb,525,98,57,0,,,0,0,1,"2000,2026",,,0,True,False,,,,,,
Determinazione_380__5686_VistoContabile_2.pdf,VistoContabile,Contabilità,,high,text,0ac7c4fc9e277763f5b035163ec9cae050c030edd544715354947667979e06d1,525,98,57,0,,,0,0,1,"2000,2026",,,0,True,False,,,,,,
Determinazione_69__5160_VistoContabile_2.pdf,VistoContabile,Contabilità,,high,text,d883260eb9b0c6678a442032b46abeb0d9325a3be13208ba37fea53f9571cae9,525,98,57,0,,,0,0,1,"2000,2026",,,0,True,False,,,,,,
Determinazione_21942021__5709_VistoContabile_2.pdf,VistoContabile,Contabilità,,high,text,2c594145c8c1ae2eca34c406c8e4ac718429c26821e19471a22c9d8f5343a1f2,525,98,57,0,,,0,0,1,"2000,2026",,,0,True,False,,,,,,
Determinazione_220__5438_VistoContabile_2.pdf,VistoContabile,Contabilità,,high,text,1ae0ff95760fdee8e7f1c5c02f1575ee8e7f2052225302244012ac4ae7ac2a5e,525,98,57,0,,,0,0,1,"2000,2026",,,0,True,False,,,,,,
Determinazione_111__5249_VistoContabile_2.pdf,VistoContabile,Contabilità,,high,text,16b7185836e81c427425e0e89373e2fc5458fdf90f908b90723448258cef1403,525,98,57,0,,,0,0,1,"2000,2026",,,0,True,False,,,,,,
Determinazione_163__5329_VistoContabile_2.pdf,VistoContabile,Contabilità,,high,text,512c81ecf9669bf3f26cc501b89cdd5611620a895ee90d1b216680eb8818bf15,525,98,57,0,,,0,0,1,"2000,2026",,,0,True,False,,,,,,
Determinazione_15_05032026_5330_VistoContabile_2.pdf,VistoContabile,Contabilità,,high,text,67224b4acb206aa6b82d331d7e07e305c50f625acfa3992832821dac6ea0063b,525,98,57,0,,,0,0,1,"2000,2026",,,0,True,False,,,,,,
Determinazione_94__5194_VistoContabile_2.pdf,VistoContabile,Contabilità,,high,text,4597f9af44389c06e33baefe63659d7f833cea1af11936a6f88910e2501a00d1,525,98,57,0,,,0,0,1,"2000,2026",,,0,True,False,,,,,,
Determinazione_343__5630_VistoContabile_2.pdf,VistoContabile,Contabilità,,high,text,a6103203426fac7c5334c1399738ee29be5b8c28231ad16a624cf62090addddf,525,98,57,0,,,0,0,1,"2000,2026",,,0,True,False,,,,,,
Determinazione_5692025__5588_VistoContabile_2.pdf,VistoContabile,Contabilità,,high,text,fdc0b214947154163bcc689dcc37acc6853e4b4fad77cbcb41f24776f67fd9be,525,98,56,0,,,0,0,1,"2000,2026",,,0,True,False,,,,,,
Determinazione_193__5387_VistoContabile_3.pdf,VistoContabile,Contabilità,,high,text,e110c3d888378e1399dd94c98a1c457c3537b1ef3ab32a7d8d8e96b0c70cbdef,525,98,57,0,,,0,0,1,"2000,2026",,,0,True,False,,,,,,
Determinazione_622160__5492_VistoContabile_2.pdf,VistoContabile,Contabilità,,high,text,6c69ac925a84996be71dfd4c63fc10b67abfc85d4886f4b321aefeaf2dadebab,525,98,57,0,,,0,0,1,"2000,2026",,,0,True,False,,,,,,
atto___5321_ElencoElettoriResidentiTempora_1772627130_1.pdf,Elenco,Servizi Demografici,,high,ocr,8158b8fd52a4e34650c0800a787dbf5d48ee20c898e5545ae24c2fbfaa1ce36a,584,100,78,0,,,0,0,1,"2001,2003,2026",,,0,False,False,,,,,,
Delibera_25__5230_AttestazionePubblicazione_3.pdf,AttestazionePubblicazione,Regolamenti,,high,text,9a336532d53c8b0d80249b52e981bd803d1d59ed733c8b0bfc6d8a666ba5bcc7,649,101,76,0,,,0,0,3,"2000,2026,2028",,,0,False,False,,,,,,
Delibera_20__5667_AttestazionePubblicazione_10.pdf,AttestazionePubblicazione,Regolamenti,,high,text,e0ff1e4785b80244c5f6114cdb6959ffe3d37617f51017b3ee8e6105b77435b3,658,101,77,0,,,0,0,3,"2000,2025,2026",,,0,False,False,,,,,,
Delibera_3__5333_AttestazionePubblicazione_4.pdf,AttestazionePubblicazione,Regolamenti,,high,text,751842d795a7083ce3027165e3ae3186ff3156686e9743957b3ac9730c03e608,674,102,76,0,,,0,0,3,"2000,2026",,,0,False,False,,,,,,
Delibera_4__5334_AttestazionePubblicazione_4.pdf,AttestazionePubblicazione,Regolamenti,,ml_predicted,text,8cef28d24d52fb89df25f1f2fb8309fd78453aee4df67d98a6e69de83ddd59ee,673,102,76,0,,,0,0,3,"2000,2026",,,0,False,False,,,,,,
Delibera_7__5337_AttestazionePubblicazione_2.pdf,AttestazionePubblicazione,Regolamenti,,high,text,9ae22546321587ac0d52e7fafaecf86defea52e8c77e7199395fbbc29eed6df5,668,102,76,0,,,0,0,3,"2000,2026",,,0,False,False,,,,,,
Delibera_6__5336_AttestazionePubblicazione_4.pdf,AttestazionePubblicazione,Pubblicazione e Trasparenza,,high,text,ca896f080919856998c78a2f69f2dbb56e8f2a8898a8ac658d205341f6effed3,662,102,76,0,,,0,0,3,"2000,2026,2028",,,0,False,False,,,,,,
