pdf_name,doc_type,category,subcategory,classification_confidence,source,text_sha256,text_chars,text_words,unique_words,euro_mentions,cig,cup,cig_mentions,cup_mentions,date_mentions,years_mentioned,importo_max,importo_sum,importi_count,accounting_relevant,missing_amount_expected,importo_lettere,piva_beneficiario,iban,codice_appalti,quadro_economico,anomalie
atto_10__5415_DecretoSindacale_Copia_10_2026_1.pdf,Decreto,,Nomina,,text,e842c542651ad12d92d32653a86062d8018f80cfc4e9b77a9f54d62c2b5cd419,5982,912,354,0,,,0,0,6,"2000,2001,2005,2006,2007,2011,2012,2015,2026",,,0,False,False,,,,,,
atto_18__5584_OrdinanzeSindacali_Copia_18_2026_1.pdf,Ordinanza,,,,text,b686eeea78803bcba3134010f6e863051db0180877dbb06df1ee4a48cc173717,3554,545,284,0,,,0,0,6,2026,,,0,False,False,,,,,,
atto_19__5585_OrdinanzeSindacali_Copia_19_2026_1.pdf,Ordinanza,,,,text,5a61cfcdd1edb4ebc6c92e8ca18f9aa88382e3125fba1b9f81ee156e3ed2dba0,4349,674,305,0,,,0,0,6,"2000,2004,2026",,,0,False,False,,,,,,
atto_2__5080_OrdinanzeSindacali_Copia_2_2026_1.pdf,Ordinanza,,,,text,9a2b97360e2c14f09fd5d00b92253d17c17ccd5411edd7acfcb2c9bb8f895e83,3757,585,287,0,,,0,0,6,"2000,2026",,,0,False,False,,,,,,
atto_4__5105_OrdinanzeSindacali_Copia_4_2026_1.pdf,Ordinanza,,,,text,d928a6a0ab156975127190403f18cf9c1071b9ed7ffac7146cc6625d54058c87,4887,803,334,0,,,0,0,6,"2000,2026",,,0,False,False,,,,,,
atto_9__5381_OrdinanzeSindacali_Copia_9_2026_1.pdf,Ordinanza,,,,text,1da641eed63a070d1d9de97070e86b4b3e1449fccd3d8d9d447037715d05caeb,3129,496,238,0,,,0,0,6,"2000,2026",,,0,False,False,,,,,,
atto___4995_disposizione_chiusura_Marcato_1766055325_1.pdf,unknown,,,,text,befdea4985db2228f78c4a02d391f2ba69105822ecb6b29060d6e54ecc9b7006,2917,430,218,0,,,0,0,2,"2000,2025",,,0,True,True,,,,,,
atto___5169_LevaMilitareManifestoPubblicaz_1769943189_1.pdf,unknown,,,,text,db760225cf0f8431c7d3d3e2b599a93efc35a6bc3601d39988082fa69f512061,700,123,91,0,,,0,0,2,"2009,2010,2026",,,0,False,False,,,,,,
atto___5169_StampaElencoPreparatorioListaL_1769943189_2.pdf,unknown,,,,text,14d63622b51061f3ba8eae339b38ff818c81e082ddafa5466c022de2d6e2b707,7144,1316,200,0,,,0,0,52,"2009,2010,2012,2017,2021,2026",,,0,False,False,,,,,,
atto___5196_AVELLA_Marcato_1770205478_1.pdf,unknown,,,,text,7ba3bb7d85b7b9b2e84ead4bf0cda290828b0b9bf52bbec7fa4bb1de0235ceca,167,24,12,0,,,0,0,2,2026,,,0,False,False,,,,,,
atto___5197_Mod1-Referendum_1770276195_1.pdf,unknown,,Nomina,,text,8f5bbd587d922cc24c17a2a374b449bfa1811ddc9d5b4bb04010eeccb94c4c20,2105,471,176,0,,,0,0,0,"2025,2026",,,0,False,False,,,,,,
atto___5669_manifesto_esami_2026_Marcato_1779786918_1.pdf,unknown,,,,text,212e00c20a1aff2190d628d37545404c98e21313562725a5dda399a5ab0a664a,8222,1197,458,0,,,0,0,1,"2004,2024,2026",,,0,False,False,,,,,,
atto___5692_manifesto_esami_2026_Marcato_1780036833_1.pdf,unknown,,,,text,86276092fcf6dafdbcc026f6755feae5aca8d68b372843731917e368bee6a249,8222,1197,457,0,,,0,0,1,"2004,2024,2026",,,0,False,False,,,,,,
atto___5704_att_234873_Marcato_1780480211_4.pdf,Determinazione,,,,text,fd1a7220c3ee00867979b7d7b8e78ae71d09338e5be648a6d5355ae083151f58,831,112,96,0,BBE08A31A9,,1,0,2,2026,,,0,True,True,,,,,,
Delibera_22__allegato1770900706_3.pdf,Delibera,,,,text,f45443b4a207449ad11252d53cec0d37df2b1fa5158ed554ff09b46089ec1246,3330,578,217,24,,,0,0,0,"2026,2027",244240.0,799700.0,24,False,False,,,,,,
Delibera_26_2028_5237_elenco_indirizzi_internet__7.pdf,Elenco,,,,text,b2f53bc4ec7ac0693b5022acabe5d2b63f227460664ee8f308267713902f3706,299,44,35,0,,,0,0,0,2024,,,0,False,False,,,,,,
Delibera_26_2028_5237_Limite_di_indebitamento_2026-2028_3.pdf,Delibera,,,,text,fc29674a386d22f48b2eca838694f6f2bc55cb14acd59fd5a3528e273c6231be,2965,520,223,0,,,0,0,3,"2000,2011,2012,2014,2015,2025,2026,2027,2028",,,0,False,False,,,,,,
Delibera_38__5363_Piano_Azioni_Positive_triennio_2026-_AV_2.pdf,Delibera,,Concorso,,text,172a62a9a4f32d484097caa99a0040b4a651150178fd8b85fdb352cda47a4cb5,14489,2132,714,0,,,0,0,1,"2000,2001,2005,2006,2007,2026,2028",6.0,6.0,2,True,False,,,,,,
Delibera_45__5439_PIAO_2026_-_2028_del_Comune_di_Avelll-A_2.pdf,Delibera,,Liquidazione,,text,6aca27f71a79457ee3a6f81a4bdcff60d6b55481c46547694c40f2f09078d953,90487,12848,2292,13,,,0,0,14,"2000,2001,2002,2005,2006,2007,2008,2009,2010,2011,2012,2013,2015,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028",6.0,6.0,1,True,False,,248800641.0,,,,
Delibera_60__5549_doc01890720260428103035_2.pdf,Delibera,,,,text,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,,,0,0,0,,,,0,False,False,,,,,,
Determinazione_114__5254_DeterminadiImpegno_Copia_114_2026_1.pdf,Determinazione,,Liquidazione,,text,5cab730dee004b9540d42b306d06524cc8000ee4c1f73201fa96e6cac97e360a,19815,3121,805,13,BA3EB93182,J29D24000270001,4,6,11,"2000,2006,2009,2010,2012,2013,2014,2016,2022,2023,2024,2025,2026",24400.0,182600.0,11,True,False,,2989240649.0,,36/2023,,
Determinazione_115__5255_DeterminadiImpegno_Copia_115_2026_1.pdf,Determinazione,,Liquidazione,,text,c8613b8791a80769ceb8e279e6b9e184f0319c76a5f1e6cc8c2e908918b4724a,20369,3211,798,17,BA3ED7B437,J27B23000020001,5,7,14,"2000,2006,2009,2010,2012,2013,2014,2022,2023,2024,2025,2026",495315.0,878231.02,16,True,False,,2989240649.0,,36/2023,,
Determinazione_116__5256_DeterminadiImpegno_Copia_116_2026_1.pdf,Determinazione,,Liquidazione,,text,ad85f0180ba82cc716b1b3cd5832decceb8d4edbe714f516df38c4b5e63bbdd5,20545,3225,796,17,BA3EE83E10,J27B23000010001,5,7,13,"2000,2006,2009,2010,2012,2013,2014,2022,2023,2024,2025,2026",102645.47,321397.07,15,True,False,,2989240649.0,,36/2023,,
Determinazione_128__5274_DeterminadiImpegno_Copia_128_2026_1.pdf,Determinazione,,Nomina,,text,8be6a7da9f58392ebfe72fd9bf9d44c1467d33e7685e0c8532d1b8e9f9fe8a7d,10948,1769,541,11,,J27G22000110006,1,3,12,"2000,2016,2018,2021,2022,2023,2024,2025,2026",384930.0,1540307.34,10,True,False,,,,36/2023,,
Determinazione_133__5275_DeterminadiImpegno_Copia_129_2026_1.pdf,Determinazione,,Nomina,,text,2859accdd014f600af6adf2ae0d97024ac2abd8c73a084cc3cbaf69459620a19,12490,2019,530,12,,J25E24000150006,1,5,10,"2000,2016,2022,2023,2024,2025,2026",515481082.75,519543937.87,11,True,False,,,,36/2023,,
Determinazione_161__5328_DeterminaGenerica_Copia_161_2026_1.pdf,Determinazione,,,,text,0c2ea4aab418eab1fff1e6ca97123e90f6aacdfd2b6d8cb6733d677cc16294c3,8373,1355,473,6,BAADBC6597,,2,0,9,"2000,2006,2010,2013,2014,2023,2026",650.0,7150.0,5,True,False,,,,36/2023,,
Determinazione_162__5327_DeterminaGenerica_Copia_162_2026_1.pdf,Determinazione,,,,text,c6102f4e20030f634115649eb416338f57352d4535f50b21911239bdd8b76579,8343,1353,475,6,BAADC5291E,,2,0,9,"2000,2006,2010,2013,2014,2023,2026",650.0,6100.0,5,True,False,,,,36/2023,,
Determinazione_193__5387_GRADUATORIA_PEO_2025_-_all-1_2.pdf,Determinazione,,,,text,297b7394f62bef8c2aa53c7e1b164e84c336117f7b7c4bfcf1402156dcf7552c,1219,223,92,7,,,0,0,0,"2022,2024,2025,2026",,,0,False,False,,,,,,
Determinazione_217__5433_DeterminadiImpegno_Copia_217_2026_1.pdf,Determinazione,,,,text,3433932f3824245deb11a9c6d3480962ec34abc7eb442ad73d6e7fffaef5c3d7,18582,2964,818,15,BAFA1CC7AC,J54J25000990006,3,3,20,"2000,2005,2006,2010,2011,2012,2015,2018,2023,2024,2025,2026",140000.0,346103.05,13,True,False,IVA esclusa,1967760641.0,,36/2023,,Partita IVA 01967760641 formalmente errata (Checksum fallito)
Determinazione_218__5434_DeterminadiImpegno_Copia_218_2026_1.pdf,Determinazione,,,,text,b6e33efc001d1c1dbac41f8a32fad7a0f6638394b4b5316b71fe09b1d98bd2c7,18630,2970,806,15,BAF895FF86,J54J25000990006,3,3,20,"2000,2005,2006,2010,2011,2012,2015,2018,2023,2024,2025,2026",140000.0,375036.14,13,True,False,IVA inclusa,488410010.0,,36/2023,,
Determinazione_227__5452_DeterminadiImpegno_Copia_227_2026_1.pdf,Determinazione,,Liquidazione,,text,99ac9c8c16bd3906b68b0f751db12caca4a9d6ada699f0c556b33b4fb02c02c5,12027,1965,592,9,BB1DBE2AD1,,3,1,16,"2000,2001,2011,2013,2014,2023,2025,2026",300.0,910.0,6,True,False,,,,36/2023,,
Determinazione_232__5213_Allegato_A_2.pdf,Determinazione,,,,text,875a40cc30553a4f90f47b1a53eb7bb9c5a2ac519edb471812951a0d79657119,181,42,42,0,,,0,0,0,,,,0,False,False,,,,,,
